2022/8/27 下午 11:07:48,Products,Index,N/A, Guest
2022/8/27 下午 11:07:52,Products,Index,N/A, Guest
2022/8/27 下午 11:07:55,Products,Details,B0000000000000000002, Guest
2022/8/27 下午 11:08:00,Products,Details,C0000000000000000003, Guest
2022/8/27 下午 11:08:03,Products,Details,B0000000000000000002, Guest
2022/8/27 下午 11:08:19,Products,Details,C0000000000000000003, Guest
2022/8/27 下午 11:12:09,Products,Index,N/A, Guest
2022/8/27 下午 11:12:13,Products,Details,B0000000000000000002, Guest
2022/8/27 下午 11:22:16,Products,Create,N/A, Guest
2022/8/27 下午 11:23:23,Products,Create,N/A, Guest
2022/8/27 下午 11:24:23,Products,Index,N/A, Guest
2022/8/27 下午 11:25:49,Products,Create,N/A, Guest
2022/8/28 上午 02:11:13,Members,Index,N/A, Guest
2022/8/28 上午 02:11:19,Members,Create,N/A, Guest
2022/8/28 上午 02:11:29,Members,Edit,1, Guest
2022/8/28 上午 02:11:32,Members,Details,1, Guest
2022/8/28 上午 02:11:36,Members,Create,N/A, Guest
2022/8/28 上午 02:11:48,HomeManager,Index,N/A, Guest
2022/8/28 上午 02:11:48,Home,Index,N/A, Guest
2022/8/28 上午 02:11:52,Suppliers,Index,N/A, Guest
2022/8/28 上午 02:11:53,Suppliers,Create,N/A, Guest
2022/8/28 上午 02:11:56,Suppliers,Edit,1, Guest
2022/8/28 上午 02:12:00,Members,Index,N/A, Guest
2022/8/28 上午 02:12:01,Members,Create,N/A, Guest
2022/8/28 上午 02:12:10,Members,Details,1, Guest
2022/8/28 上午 02:12:12,Members,Edit,1, Guest
2022/8/28 上午 02:12:14,Products,Index,N/A, Guest
2022/8/28 上午 02:12:16,Products,Create,N/A, Guest
2022/8/28 上午 02:12:19,Products,Details,B0000000000000000002, Guest
2022/8/28 上午 02:12:23,Orders,Index,N/A, Guest
2022/8/28 上午 02:12:26,Orders,Create,N/A, Guest
2022/8/28 上午 02:12:28,Orders,Edit,A00000000000001, Guest
2022/8/28 上午 02:12:30,Orders,Delete,A00000000000003, Guest
2022/8/28 上午 02:12:35,OrderDetails,Index,N/A, Guest
2022/8/28 上午 02:12:37,OrderDetails,Edit,A00000000000001, Guest
2022/8/28 上午 02:12:41,OrderDetails,Create,N/A, Guest
2022/8/28 上午 02:12:48,Members,Create,N/A, Guest
2022/8/28 上午 02:45:26,Members,Index,N/A, Guest
2022/8/28 上午 02:45:35,Members,Index,N/A, Guest
2022/8/28 上午 02:45:37,Products,Index,N/A, Guest
2022/8/28 上午 02:45:43,Products,Details,B0000000000000000002, Guest
2022/8/28 上午 02:47:41,Products,Index,N/A, Guest
2022/8/28 上午 02:47:43,Products,Create,N/A, Guest
2022/8/28 上午 02:47:48,Products,Create,N/A, Guest
2022/8/28 上午 02:47:50,Products,Details,B0000000000000000002, Guest
2022/8/28 上午 02:47:57,Products,Create,N/A, Guest
2022/8/28 上午 02:49:09,Products,Details,B0000000000000000002, Guest
2022/8/28 上午 02:49:49,Products,Index,N/A, Guest
2022/8/28 上午 02:49:52,Products,Create,N/A, Guest
2022/8/28 上午 02:49:53,Products,Details,B0000000000000000002, Guest
2022/8/28 上午 02:51:16,Products,Index,N/A, Guest
2022/8/28 上午 02:51:18,Products,Details,B0000000000000000002, Guest
2022/8/28 上午 02:51:22,Products,Index,N/A, Guest
2022/8/28 上午 02:51:23,Products,Details,B0000000000000000002, Guest
2022/8/28 上午 02:53:37,Products,Index,N/A, Guest
2022/8/28 上午 02:53:40,Products,Details,B0000000000000000002, Guest
2022/8/28 上午 03:07:50,Members,Index,N/A, Guest
2022/8/28 上午 03:07:52,Members,Create,N/A, Guest
2022/8/28 上午 03:43:17,Members,Index,N/A, Guest
2022/8/28 上午 03:43:22,Products,Index,N/A, Guest
2022/8/28 上午 03:43:26,Products,Details,B0000000000000000002, Guest
2022/8/28 上午 03:43:29,Products,Create,N/A, Guest
2022/8/28 下午 03:12:37,Home,Index,N/A, Guest
2022/8/28 下午 03:12:44,HomeManager,Login,N/A, Guest
2022/8/28 下午 03:12:51,HomeManager,Login,N/A, Guest
2022/8/28 下午 03:15:19,HomeManager,Login,N/A, Guest
2022/8/28 下午 03:15:22,HomeManager,Login,N/A, Guest
2022/8/28 下午 03:15:31,HomeManager,Login,N/A, Guest
2022/8/28 下午 03:17:47,Home,Index,N/A, Guest
2022/8/28 下午 03:17:51,HomeManager,Login,N/A, Guest
2022/8/28 下午 03:17:57,HomeManager,Login,N/A, Guest
2022/8/28 下午 03:42:19,Home,Index,N/A, Guest
2022/8/28 下午 03:42:22,HomeManager,Login,N/A, Guest
2022/8/28 下午 03:42:29,HomeManager,Login,N/A, Guest
2022/8/28 下午 03:42:31,HomeManager,Index,N/A, 1
2022/8/28 下午 03:44:21,Suppliers,Index,N/A, 1
2022/8/28 下午 03:44:25,Suppliers,Edit,1, 1
2022/8/28 下午 03:44:27,Suppliers,Create,N/A, 1
2022/8/28 下午 03:44:29,Members,Index,N/A, 1
2022/8/28 下午 03:44:30,Members,Create,N/A, 1
2022/8/28 下午 03:45:37,Members,Index,N/A, 1
2022/8/28 下午 03:45:38,Members,Create,N/A, 1
2022/8/28 下午 03:53:04,Members,Create,N/A, 1
2022/8/28 下午 03:53:40,Members,Index,N/A, 1
2022/8/28 下午 03:53:41,Members,Create,N/A, 1
2022/8/28 下午 03:55:09,Members,Index,N/A, Guest
2022/8/28 下午 03:55:13,Members,Create,N/A, Guest
2022/8/28 下午 03:56:27,Home,Index,N/A, Guest
2022/8/28 下午 03:56:31,Home,Index,N/A, Guest
2022/8/28 下午 03:56:32,Home,Index,N/A, Guest
2022/8/28 下午 03:56:34,Home,ProductList,N/A, Guest
2022/8/28 下午 03:56:45,Home,ProductList,N/A, Guest
2022/8/28 下午 03:56:48,HomeManager,Login,N/A, Guest
2022/8/28 下午 03:56:55,HomeManager,Login,N/A, Guest
2022/8/28 下午 03:56:55,HomeManager,Index,N/A, 1
2022/8/28 下午 03:56:57,Members,Index,N/A, 1
2022/8/28 下午 03:56:58,Members,Create,N/A, 1
2022/8/28 下午 03:57:01,Products,Index,N/A, 1
2022/8/28 下午 03:57:02,Orders,Index,N/A, 1
2022/8/28 下午 03:57:03,Products,Index,N/A, 1
2022/8/28 下午 03:57:04,Products,Create,N/A, 1
2022/8/28 下午 03:57:07,Products,Details,B0000000000000000002, 1
2022/8/28 下午 04:29:07,HomeManager,Login,N/A, Guest
2022/8/28 下午 04:29:09,Home,ProductList,N/A, Guest
2022/8/28 下午 04:33:47,HomeManager,Login,N/A, Guest
2022/8/28 下午 04:33:47,HomeManager,Index,N/A, 1
2022/8/28 下午 04:33:50,Home,ProductList,N/A, 1
2022/8/28 下午 04:34:28,Home,Index,N/A, 1
2022/8/28 下午 04:34:29,Home,ProductList,N/A, 1
2022/8/28 下午 04:34:32,Home,Index,N/A, 1
2022/8/28 下午 04:34:33,HomeManager,Login,N/A, 1
2022/8/28 下午 04:34:39,HomeManager,Login,N/A, 1
2022/8/28 下午 04:34:39,HomeManager,Index,N/A, 1
2022/8/28 下午 04:34:41,Products,Index,N/A, 1
2022/8/28 下午 04:34:44,Products,Create,N/A, 1
2022/8/28 下午 04:34:47,Products,Details,B0000000000000000002, 1
2022/8/28 下午 04:34:49,Products,Edit,B0000000000000000002, 1
2022/8/28 下午 04:35:02,Products,Index,N/A, 1
2022/8/28 下午 04:35:03,Members,Index,N/A, 1
2022/8/28 下午 04:35:04,Suppliers,Index,N/A, 1
2022/8/28 下午 04:35:08,Members,Create,N/A, 1
2022/8/28 下午 04:35:13,Suppliers,Index,N/A, 1
2022/8/28 下午 04:35:14,Suppliers,Create,N/A, 1
2022/8/28 下午 04:35:15,Members,Index,N/A, 1
2022/8/28 下午 04:35:16,Members,Create,N/A, 1
2022/8/28 下午 04:53:24,Suppliers,Index,N/A, 1
2022/8/28 下午 04:53:26,Suppliers,Index,N/A, 1
2022/8/28 下午 04:53:28,Members,Index,N/A, 1
2022/8/28 下午 04:53:30,Members,Create,N/A, 1
2022/8/28 下午 04:58:35,Suppliers,Index,N/A, 1
2022/8/28 下午 04:58:37,Members,Index,N/A, 1
2022/8/28 下午 04:58:38,Members,Create,N/A, 1
2022/8/28 下午 04:58:43,Members,Edit,1, 1
2022/8/28 下午 04:58:45,Members,Index,N/A, 1
2022/8/28 下午 04:58:46,Members,Create,N/A, 1
2022/8/28 下午 05:01:49,Suppliers,Index,N/A, 1
2022/8/28 下午 05:01:50,Suppliers,Index,N/A, 1
2022/8/28 下午 05:01:51,Suppliers,Index,N/A, 1
2022/8/28 下午 05:01:53,Members,Index,N/A, 1
2022/8/28 下午 05:01:53,Members,Create,N/A, 1
2022/8/28 下午 05:04:14,Members,Create,N/A, 1
2022/8/28 下午 05:05:24,Members,Create,N/A, Guest
2022/8/28 下午 05:16:04,Home,Index,N/A, Guest
2022/8/28 下午 05:16:05,HomeManager,Login,N/A, Guest
2022/8/28 下午 05:16:12,HomeManager,Login,N/A, Guest
2022/8/28 下午 05:16:14,HomeManager,Index,N/A, 1
2022/8/28 下午 05:16:17,Members,Index,N/A, 1
2022/8/28 下午 05:16:18,Members,Create,N/A, 1
2022/8/28 下午 05:17:15,Members,Index,N/A, 1
2022/8/28 下午 05:17:16,Members,Index,N/A, 1
2022/8/28 下午 05:17:16,Members,Index,N/A, 1
2022/8/28 下午 05:17:17,Members,Index,N/A, 1
2022/8/28 下午 05:17:18,HomeManager,Logout,N/A, 1
2022/8/28 下午 05:17:18,Home,Index,N/A, Guest
2022/8/28 下午 05:17:20,HomeManager,Login,N/A, Guest
2022/8/28 下午 05:17:26,HomeManager,Login,N/A, Guest
2022/8/28 下午 05:17:26,HomeManager,Index,N/A, 1
2022/8/28 下午 05:17:28,Members,Index,N/A, 1
2022/8/28 下午 05:17:29,Members,Create,N/A, 1
2022/8/28 下午 10:04:44,Members,Create,N/A, Guest
2022/8/28 下午 10:04:45,Members,Create,N/A, Guest
